Name,Isin,YahooTicker,Market,Net_Income_2021,FCF_2021,Op_Margin_2021,ROE_2021,Debt_Equity_2021,PER_2021,ROIC_2021,Net_Margin_2021,EPS_2021,Perf_2021,Price_per_share_2021,Net_Income_2022,FCF_2022,Op_Margin_2022,ROE_2022,Debt_Equity_2022,PER_2022,ROIC_2022,Net_Margin_2022,EPS_2022,Perf_2022,Price_per_share_2022,Net_Income_2023,FCF_2023,Op_Margin_2023,ROE_2023,Debt_Equity_2023,PER_2023,ROIC_2023,Net_Margin_2023,EPS_2023,Perf_2023,Price_per_share_2023,Net_Income_2024,FCF_2024,Op_Margin_2024,ROE_2024,Debt_Equity_2024,PER_2024,ROIC_2024,Net_Margin_2024,EPS_2024,Perf_2024,Price_per_share_2024,Price_per_share_2025
AENA SME,ES0105046017,AENA.MC,Trading After Hours,-475448000.0,-390611000.0,0.09,-0.08,1.54,-433.09,-0.03179868956,-0.1951815469,-0.317,0.002166046307,133.002,901499000.0,1135474000.0,0.32,0.13,1.13,214.39,0.06841393644,0.2151448799,0.601,-0.1751054843,119.96975,1630814000.0,836877000.0,0.42,0.21,1.08,132.64,0.1153974223,0.3230667224,1.087,0.364371215,162.585,1934224000.0,1923938000.0,0.45,0.23,0.85,141.97,0.1438051419,0.3343904426,1.289,0.2073160488,199.4035,23.4275
AEROPORTO G. M. BO,IT0001006128,ADB.MI,Euronext Milan,-6717000.0,-12209000.0,-0.11,-0.04,0.45,-45.89,-0.02703369411,-0.09311061824,-0.19,0.05263166424,8.17225,31109000.0,51561000.0,0.11,0.16,0.34,8.71,0.1267512469,0.2245472459,0.87,-0.1409691026,7.1655,16706000.0,6022000.0,0.15,0.08,0.17,16.29,0.07725188407,0.0977382025,0.46,0.06976741525,7.577,24437000.0,4306000.0,0.19,0.11,0.15,10.82,0.1018087307,0.1295169548,0.68,-0.06877178963,7.143000000000001,9.655
AF GRUPPEN,NO0003078107,AFG.OL,Oslo Børs,1019000000.0,1208000000.0,0.05,0.38,0.38,15.68,0.4495283702,0.0367193975,9.57,0.1891493897,157.32574999999997,958000000.0,1169000000.0,0.04,0.37,0.55,16.01,0.3851387795,0.03093316112,8.96,-0.201032793,124.9315,402000000.0,1017000000.0,0.02,0.17,0.58,32.81,0.2219085369,0.01333112253,3.73,-0.0957753537,110.50549999999998,708000000.0,1962000000.0,0.03,0.27,0.5,18.89,0.3183703538,0.02342664284,6.52,0.2405361594,138.67225,184.35000000000002
AFYREN,FR0014005AC9,ALAFY.PA,Euronext Growth Paris,-3609000.0,-3060000.0,-0.76,-0.05,0.11,-47.0,-0.03914147242,-1.188735178,-0.18,0.1272727948,8.7,-9200000.0,-3828000.0,-1.57,-0.13,0.12,-19.42,-0.1137883519,-2.662037037,-0.36,-0.3287037083,5.9350000000000005,-9586000.0,-5600000.0,-1.76,-0.16,0.08,-12.81,-0.142187689,-2.836934004,-0.37,-0.652364273,2.06125,-9754000.0,-5844000.0,-2.13,-0.19,0.06,-6.25,-0.1732331474,-3.408106219,-0.37,-0.01351350045,2.1574999999999998,2.72875
AGFA-GEVAERT,BE0003755692,AGFB.BR,EuroTLX,-17000000.0,-142000000.0,0.01,-0.03,0.12,-35.61,0.0177444795,-0.009659090909,-0.11,-0.03316329385,3.69625,-221000000.0,-133000000.0,-0.03,-0.42,0.12,-2.44,-0.1978967495,-0.1930131004,-1.41,-0.3046874646,2.7125,-102000000.0,-64000000.0,0.0,-0.26,0.21,-3.86,0.005184331797,-0.08869565217,-0.59,-0.4654545351,1.396,-92000000.0,-49000000.0,0.01,-0.28,0.48,-1.65,-0.07009345794,-0.08084358524,-0.66,-0.4965181091,0.7215,0.5287499999999999
AGROGENERATION,FR0010641449,ALAGR.PA,Euronext Growth Paris,14202000.0,17304000.0,0.64,0.28,0.49,3.11,0.202577347,0.3235374522,0.06,1.412008145,0.22624999999999998,-31595000.0,352000.0,-0.47,-2.26,1.29,-0.83,-1.1233706,-1.221582122,-0.14,-0.6666666667,0.0845,-7908000.0,-77000.0,-0.26,-0.6,1.17,-1.27,-0.4005866684,-0.4675416814,-0.04,-0.6530120409,0.028,-1533000.0,-25000.0,0.02,-0.14,0.83,-5.26,-0.1048846795,-0.06767016862,-0.01,0.8387097084,0.056499999999999995,0.045000000000000005
AHOLD DEL,NL0011794037,AD.AS,EuroTLX,2246000000.0,3097000000.0,0.04,0.16,1.25,10.23,0.1347691418,0.02970899471,2.17,0.3091359674,26.066000000000003,2546000000.0,3620000000.0,0.04,0.17,1.15,9.57,0.141602805,0.02926975076,2.54,-0.08947222843,24.737500000000004,1874000000.0,6466000000.0,0.03,0.13,1.2,13.8,0.1175780749,0.02111930038,1.94,-0.00381553855,24.521749999999997,1764000000.0,6224000000.0,0.03,0.11,1.31,14.7,0.1000901162,0.01974103875,1.89,0.2304164898,30.78625,35.01
AIR FRANCE -KLM,FR001400J770,AF.PA,"Euronext Paris, Amsterdam",-3292000000.0,-668000000.0,-0.11,0.86,-4.22,-0.38,-0.5067969855,-0.2299685644,-59.5,-0.2051334498,19.62525,728000000.0,1884000000.0,0.04,-0.24,-4.86,52.47,0.2035006605,0.02758307127,0.31,-0.3988235115,12.471250000000001,934000000.0,55000000.0,0.05,-0.46,-6.59,35.9,0.5410743763,0.03111362804,0.41,0.08518965442,13.304,317000000.0,-232000000.0,0.05,-0.18,-8.24,10.06,0.4260930185,0.01007660765,0.93,-0.3971505123,7.929,11.08
AIR LIQUIDE,FR0000120073,AI.PA,Euronext Paris,2572200000.0,2653900000.0,0.18,0.12,0.65,24.46,0.08613268925,0.1102302141,4.472727,0.145809418,117.55975000000001,2758800000.0,2537100000.0,0.16,0.12,0.56,24.1,0.08194007743,0.09216275807,4.790909,-0.04020720715,115.41775,3078000000.0,2869600000.0,0.18,0.13,0.49,26.01,0.09231171094,0.1114910387,5.33,0.3285337738,154.63275,3306100000.0,2797100000.0,0.2,0.12,0.46,28.19,0.09241458522,0.1221865784,5.72,0.004228722608,155.46200000000002,161.57
AIRBUS,NL0000235190,AIR.PA,Trading After Hours,4213000000.0,2711000000.0,0.09,0.45,1.42,18.36,0.2108018334,0.08078774281,5.36,0.2499719548,101.325,4247000000.0,3824000000.0,0.09,0.33,0.85,18.5,0.2014401483,0.0722733693,5.39,-0.03037922089,105.294,3789000000.0,3204000000.0,0.07,0.21,0.64,25.34,0.1527644704,0.05789505852,4.8,0.2451247639,134.713,4232000000.0,3733000000.0,0.07,0.22,0.58,26.58,0.1643348044,0.06112956811,5.35,0.1146316926,152.9275,197.7525
