Name,Isin,YahooTicker,Market,Net_Income_2021,FCF_2021,Op_Margin_2021,ROE_2021,Debt_Equity_2021,PER_2021,ROIC_2021,Net_Margin_2021,EPS_2021,Perf_2021,Price_per_share_2021,Net_Income_2022,FCF_2022,Op_Margin_2022,ROE_2022,Debt_Equity_2022,PER_2022,ROIC_2022,Net_Margin_2022,EPS_2022,Perf_2022,Price_per_share_2022,Net_Income_2023,FCF_2023,Op_Margin_2023,ROE_2023,Debt_Equity_2023,PER_2023,ROIC_2023,Net_Margin_2023,EPS_2023,Perf_2023,Price_per_share_2023,Net_Income_2024,FCF_2024,Op_Margin_2024,ROE_2024,Debt_Equity_2024,PER_2024,ROIC_2024,Net_Margin_2024,EPS_2024,Perf_2024,Price_per_share_2024,Price_per_share_2025
ICADE,FR0000035081,ICAD.PA,Trading After Hours,400100000.0,-497600000.0,0.36,0.06,1.14,7.66,0.05180764103,0.2408934915,5.33,0.09249025113,38.22175,54100000.0,-234200000.0,0.19,0.01,1.22,44.63,-0.005227558617,0.03449155244,0.71,-0.3170912387,26.64825,-1250300000.0,3600000.0,0.16,-0.25,1.03,-1.63,-0.1236416346,-0.7546019675,-16.5,-0.04910819888,25.5905,-275900000.0,166200000.0,0.13,-0.06,1.1,-5.8,-0.02777028796,-0.1755089059,-3.640871,-0.2012338291,19.942749999999997,20.924999999999997
SARTORIUS STED BIO,FR0013154002,DIM.PA,Euronext Paris,414400000.0,377900000.0,0.31,0.25,0.38,92.25,0.1911294555,0.1435400069,4.5,0.5982824738,464.12425,876100000.0,181700000.0,0.3,0.36,0.46,35.44,0.2574194637,0.250837461,9.51,-0.367171597,301.9805,310300000.0,272800000.0,0.17,0.12,1.4,75.58,0.06505516377,0.1117996757,3.37,-0.1820277513,228.01125,175100000.0,475300000.0,0.14,0.04,0.72,110.95,0.04475352319,0.06298561151,1.81,-0.2401850679,185.895,207.525
74SOFTWARE,FR0011040500,74SW.PA,Euronext Paris,9602000.0,10116000.0,0.04,0.03,0.26,69.92,0.0240638529,0.03362657066,0.381385,-0.01349840781,25.859,-40045000.0,10642000.0,-0.17,-0.12,0.36,-10.69,-0.09185761464,-0.1275192577,-1.640843,-0.3658757122,15.9495,35828000.0,29720000.0,0.15,0.1,0.34,14.98,0.09153307575,0.1123219302,1.472324,0.593820544,26.275,39167000.0,19765000.0,0.14,0.07,0.65,15.86,0.06191250029,0.08479944921,1.62,0.05747126353,27.275,38.825
NEOVACS,FR0014010856,ALNEV.PA,Euronext Growth Paris,-11837302.0,-10259260.0,-349.23,-0.27,0.02,-16.71,-0.2635978989,-523.8903297,-47731.05645,-0.9834983498,50000.0,-3548503.0,-4606104.0,-2733.45,-0.07,0.02,-27.12,-0.0690769913,-1431.425171,-1182834.333,6.0,394000.0,-8743450.0,-2117863.0,-23.05,-0.18,0.01,-38.31,-0.1766527226,-16.36525795,-249812.8571,-0.9489795918,22500.0,-32914409.0,-3680926.0,-37.32,-1.82,0.01,-11490.61,-1.799335969,-89.84514366,-221.361138,-0.8978799988,1745.05,0.0125
ELICA,IT0003404214,ELC.MI,Euronext Milan,12119000.0,28969000.0,0.06,0.1,1.15,15.81,0.08011906665,0.02238898342,0.1914,0.179611625,3.25125,16608000.0,19483000.0,0.06,0.13,0.84,10.13,0.08699863396,0.03027485809,0.2635,-0.1734079727,2.5825,9775000.0,10535000.0,0.05,0.07,0.66,15.16,0.06849030421,0.02065705277,0.1571,-0.2234956575,2.09375,7868000.0,7987000.0,0.02,0.06,0.73,13.47,0.04808006203,0.01740353733,0.1334,-0.2564009647,1.6767499999999995,1.65875
VISTIN PHARMA,NO0010734122,VISTN.OL,Oslo Børs,24867000.0,-18259000.0,0.12,0.09,0.0,34.24,0.09117611421,0.0901592389,0.56,0.1480083542,15.896999999999998,-4716000.0,-74800000.0,-0.02,-0.02,0.18,-128.81,-0.009526989004,-0.01639349961,-0.11,-0.1855670401,13.89875,45596000.0,72691000.0,0.16,0.14,0.01,18.3,0.1467316697,0.1047242593,1.03,0.4382715445,20.224500000000003,62749000.0,67054000.0,0.2,0.2,0.0,15.41,0.2086153927,0.1462370453,1.42,0.1298711537,22.861,20.325000000000003
SELECTIRENTE,FR0004175842,SELER.PA,Euronext Paris,21057197.0,-79969188.0,0.26,0.07,0.52,15.43,0.05022131343,0.8717495992,5.05,0.1658995331,82.9425,13766133.0,19958000.0,0.3,0.04,0.67,26.05,0.02923176519,0.4419319656,3.3,0.08654605194,91.2245,13196000.0,26906000.0,0.71,0.04,0.59,27.83,0.03961010934,0.3628265054,3.16,-0.07920799887,83.262,28598000.0,23185000.0,0.68,0.08,0.55,11.85,0.06797898011,0.8033146067,6.85,-0.05500654242,81.281,83.75
North Atlantic En.,FR0000120669,NAE.PA,Euronext Paris,572900000.0,441000000.0,0.05,0.7,0.05,0.06,0.6862770853,0.03749836366,44.57,0.1085272964,3.0475000000000003,719200000.0,-1091300000.0,0.04,0.41,0.44,0.17,0.2847123504,0.0288418351,55.95,2.323944002,10.088,676500000.0,1846000000.0,0.04,0.29,0.02,0.22,0.2861594031,0.03516112266,52.63,0.1799970359,12.01,106500000.0,649100000.0,0.0,0.05,0.01,3.47,0.04699530932,0.00593513152,8.323883,1.1673341,25.774,42.925
VAA VISTA ALEGRE,PTVAA0AM0019,VAF.LS,Euronext Lisbon,1592000.0,10780000.0,0.08,0.02,1.56,97.93,0.03523688998,0.013608117,0.0095,0.1827957155,1.0125000000000002,5334000.0,15961000.0,0.08,0.07,1.31,27.37,0.05537434909,0.03721585756,0.0318,-0.2201834882,0.8350000000000001,6535000.0,-977000.0,0.12,0.08,1.01,20.03,0.06479376253,0.0504247718,0.039,-0.04242420258,0.775,4055000.0,2168000.0,0.09,0.05,1.01,41.88,0.05287422446,0.02964896503,0.0242,0.259259232,1.0175,1.0425
VERIMATRIX,FR0010291245,VMX.PA,Euronext Paris,3678000.0,4394000.0,0.06,0.02,0.37,49.29,0.01362975077,0.04157576443,0.04,-0.5400696498,1.26,-17610000.0,-546000.0,-0.15,-0.13,0.26,-3.88,-0.05231081924,-0.2886317446,-0.21,-0.4121212181,0.7222500000000001,-14292000.0,-3615000.0,-0.12,-0.12,0.27,-3.75,-0.0391918508,-0.2318849985,-0.17,-0.4624413083,0.41225,-10331000.0,-3660000.0,-0.07,-0.09,0.22,-3.32,-0.02560995345,-0.1805961017,-0.12,-0.3752759675,0.27325,0.17525
